鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
左營區,房地(土地+建物)+車位,高雄市左營區新莊一路151~180號,11.73,住,,,1070702,土地1建物1車位1,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,見使用執照,0881117,170.42000000000002,4,2,2,有,有,9000000,52811,坡道平面,34.81,0,,RPVNMLSKIINFFEE88CA
左營區,房地(土地+建物)+車位,高雄市左營區文天路151~180號,10.77,商,,,1070822,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850905,120.63,3,2,2,有,有,5350000,44350,坡道機械,0.0,0,,RPWNMLSKIINFFEE98CA
左營區,房地(土地+建物)+車位,高雄市左營區博愛四路301~330號,10.51,商,,,1070528,土地1建物1車位1,七層,二十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070331,195.68,3,2,2,有,有,12350000,63113,坡道平面,29.11,0,,RPPPMLSKIINFFEE48CA
左營區,房地(土地+建物)+車位,高雄市左營區博愛四路301~330號,10.84,商,,,1070730,土地1建物1車位1,二十層,二十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070331,201.03,3,2,2,有,有,14600000,72626,坡道平面,33.26,0,,RPQPMLSKIINFFEE58CA
左營區,房地(土地+建物)+車位,高雄市左營區博愛四路301~330號,10.84,商,,,1070811,土地1建物1車位1,十八層,二十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070331,201.03,3,2,2,有,有,14180000,70537,坡道平面,33.26,0,,RPRPMLSKIINFFEE68CA
楠梓區,房地(土地+建物),高雄市楠梓區和光街49巷1~30號,54.0,住,,,1070906,土地1建物1車位0,全,二層,透天厝,,加強磚造,0600301,81.48,3,5,3,有,無,3350000,41114,,0.0,0,,RPTNMLTKIINFFEE78CA
左營區,房地(土地+建物)+車位,高雄市左營區博愛四路301~330號,10.84,商,,,1070815,土地1建物1車位1,十七層,二十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070331,201.03,3,2,2,有,有,14010000,69691,坡道平面,33.26,0,,RPQPMLTKIINFFEE68CA
左營區,房地(土地+建物)+車位,高雄市左營區博愛四路301~330號,13.71,商,,,1070526,土地1建物1車位1,五層,二十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070331,254.26,4,2,2,有,有,16950000,66664,坡道平面,33.26,0,,RPVNMLKLIINFFEE18CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區援中路91~120號,24.8,住,,,1070905,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1060817,172.41,3,2,2,有,有,8600000,58408,坡道平面,34.62,552000,,RPWOMLPLIINFFEE88CA
楠梓區,房地(土地+建物),高雄市楠梓區興楠路355巷61~90號,7.18,商,,,1070910,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,0960604,60.58,4,4,4,有,有,2400000,39617,,0.0,0,,RPROMLLMIINFFEE08CA
